Zenith Lite™ Diffuse Reflectance Target - 95%R.csv;Reflectivity: 95% (UV-VIS-NIR);DETECTOR-PC\admin;10.04.2014 15:35:46;Lambda 950;950L1211082;1.61.00 Lambda 900
nm;R
250;0.911211
251;0.912225
252;0.912077
253;0.912555
254;0.911949
255;0.912477
256;0.912572
257;0.913257
258;0.913936
259;0.914543
260;0.914366
261;0.913324
262;0.912303
263;0.912679
264;0.912197
265;0.913096
266;0.914527
267;0.913261
268;0.913015
269;0.91197
270;0.911637
271;0.913419
272;0.914956
273;0.917668
274;0.920981
275;0.921512
276;0.920908
277;0.919402
278;0.922392
279;0.926741
280;0.931516
281;0.937165
282;0.941877
283;0.946076
284;0.949313
285;0.95188
286;0.952553
287;0.954833
288;0.955475
289;0.956108
290;0.957789
291;0.957477
292;0.960004
293;0.960285
294;0.960403
295;0.960697
296;0.961353
297;0.963175
298;0.964319
299;0.964685
300;0.964547
301;0.965108
302;0.966084
303;0.965455
304;0.966456
305;0.967565
306;0.967576
307;0.96768
308;0.968352
309;0.968707
310;0.967874
311;0.967192
312;0.967611
313;0.968063
314;0.967609
315;0.967869
316;0.966688
317;0.966557
318;0.967813
319;0.967492
320;0.966181
321;0.967395
322;0.966399
323;0.967181
324;0.966879
325;0.965786
326;0.964756
327;0.964795
328;0.964039
329;0.964803
330;0.964897
331;0.96384
332;0.963335
333;0.964312
334;0.964653
335;0.965653
336;0.965872
337;0.964736
338;0.964772
339;0.964391
340;0.963847
341;0.964159
342;0.965069
343;0.964616
344;0.963029
345;0.962872
346;0.963695
347;0.964966
348;0.965544
349;0.964408
350;0.963434
351;0.964032
352;0.964256
353;0.963713
354;0.963915
355;0.964502
356;0.965175
357;0.965585
358;0.965256
359;0.965827
360;0.9653
361;0.965061
362;0.965566
363;0.965335
364;0.964925
365;0.965006
366;0.964323
367;0.963462
368;0.963755
369;0.964239
370;0.964311
371;0.963618
372;0.963138
373;0.963597
374;0.965257
375;0.96548
376;0.963993
377;0.964632
378;0.96531
379;0.964386
380;0.964208
381;0.965117
382;0.965043
383;0.964768
384;0.965206
385;0.965615
386;0.965207
387;0.964762
388;0.964986
389;0.965097
390;0.965081
391;0.965073
392;0.964839
393;0.964607
394;0.965243
395;0.965378
396;0.964945
397;0.964719
398;0.964431
399;0.963935
400;0.964036
401;0.964284
402;0.964586
403;0.963829
404;0.964616
405;0.96523
406;0.965202
407;0.964587
408;0.964293
409;0.964366
410;0.964595
411;0.964727
412;0.965303
413;0.965955
414;0.965649
415;0.964889
416;0.965686
417;0.966398
418;0.965494
419;0.96536
420;0.966049
421;0.965984
422;0.966807
423;0.96686
424;0.966472
425;0.9662
426;0.96597
427;0.966903
428;0.967187
429;0.966432
430;0.966477
431;0.967024
432;0.967078
433;0.96613
434;0.966655
435;0.96629
436;0.9662
437;0.96616
438;0.96583
439;0.965543
440;0.965865
441;0.966037
442;0.966651
443;0.966431
444;0.96584
445;0.966027
446;0.966113
447;0.966043
448;0.966053
449;0.965786
450;0.967416
451;0.966602
452;0.967129
453;0.966475
454;0.967036
455;0.967181
456;0.966948
457;0.966192
458;0.966513
459;0.96696
460;0.966929
461;0.967086
462;0.967727
463;0.967169
464;0.966299
465;0.96664
466;0.966351
467;0.967478
468;0.967107
469;0.967298
470;0.96752
471;0.966688
472;0.966949
473;0.966935
474;0.967096
475;0.96754
476;0.96754
477;0.967433
478;0.967459
479;0.967669
480;0.967648
481;0.966885
482;0.967101
483;0.967666
484;0.967166
485;0.966983
486;0.967706
487;0.9676
488;0.968113
489;0.967301
490;0.966775
491;0.967317
492;0.968409
493;0.967923
494;0.967505
495;0.967803
496;0.967218
497;0.967877
498;0.967573
499;0.968005
500;0.967668
501;0.967707
502;0.967252
503;0.967582
504;0.967768
505;0.967735
506;0.967667
507;0.967587
508;0.968103
509;0.967927
510;0.968366
511;0.96796
512;0.967955
513;0.968092
514;0.967692
515;0.967943
516;0.96822
517;0.967912
518;0.967891
519;0.967651
520;0.967564
521;0.968472
522;0.967875
523;0.968227
524;0.968008
525;0.968272
526;0.968047
527;0.968228
528;0.967684
529;0.968073
530;0.967908
531;0.967487
532;0.967444
533;0.967982
534;0.96823
535;0.968012
536;0.967946
537;0.967843
538;0.967562
539;0.967548
540;0.967578
541;0.967966
542;0.96749
543;0.967362
544;0.967853
545;0.967906
546;0.967781
547;0.968299
548;0.96846
549;0.967827
550;0.968216
551;0.968387
552;0.967701
553;0.967787
554;0.968319
555;0.968409
556;0.968418
557;0.967742
558;0.967903
559;0.968483
560;0.968073
561;0.967529
562;0.967373
563;0.967883
564;0.968508
565;0.967511
566;0.967134
567;0.967479
568;0.967547
569;0.967729
570;0.967879
571;0.967901
572;0.968022
573;0.967945
574;0.96784
575;0.968081
576;0.968094
577;0.968148
578;0.967756
579;0.967419
580;0.968057
581;0.968578
582;0.968381
583;0.967804
584;0.967515
585;0.967977
586;0.968323
587;0.968181
588;0.967776
589;0.96833
590;0.968093
591;0.967944
592;0.968099
593;0.968039
594;0.968512
595;0.968294
596;0.968253
597;0.968174
598;0.967737
599;0.967978
600;0.968204
601;0.968043
602;0.967456
603;0.967328
604;0.967972
605;0.968147
606;0.967706
607;0.967998
608;0.96725
609;0.966984
610;0.967125
611;0.967604
612;0.967404
613;0.967104
614;0.967211
615;0.967175
616;0.967455
617;0.967378
618;0.967354
619;0.96795
620;0.967912
621;0.967392
622;0.966959
623;0.966812
624;0.967363
625;0.967522
626;0.967833
627;0.967037
628;0.967193
629;0.967806
630;0.96763
631;0.967275
632;0.967269
633;0.967387
634;0.967834
635;0.967687
636;0.967719
637;0.967599
638;0.968502
639;0.967785
640;0.967668
641;0.968078
642;0.967413
643;0.967188
644;0.96771
645;0.966873
646;0.967694
647;0.967872
648;0.967416
649;0.968219
650;0.967355
651;0.967265
652;0.967154
653;0.967723
654;0.96733
655;0.968062
656;0.967616
657;0.968117
658;0.966661
659;0.967057
660;0.967088
661;0.967857
662;0.967285
663;0.966877
664;0.967573
665;0.967645
666;0.967649
667;0.966476
668;0.966993
669;0.966674
670;0.966704
671;0.967626
672;0.967031
673;0.967061
674;0.966131
675;0.967179
676;0.96664
677;0.965991
678;0.966848
679;0.966608
680;0.96654
681;0.966432
682;0.966673
683;0.966029
684;0.966127
685;0.966741
686;0.96611
687;0.966465
688;0.966132
689;0.966957
690;0.965746
691;0.966815
692;0.966696
693;0.966088
694;0.966968
695;0.96551
696;0.965952
697;0.966456
698;0.965825
699;0.966059
700;0.966061
701;0.965841
702;0.965774
703;0.966846
704;0.965341
705;0.967192
706;0.965388
707;0.965629
708;0.966815
709;0.965806
710;0.96588
711;0.967206
712;0.966164
713;0.966873
714;0.966267
715;0.96525
716;0.966232
717;0.965749
718;0.965213
719;0.965424
720;0.966661
721;0.965753
722;0.966519
723;0.965528
724;0.964842
725;0.965796
726;0.965099
727;0.964832
728;0.964366
729;0.966841
730;0.966321
731;0.965766
732;0.965842
733;0.964817
734;0.965267
735;0.965675
736;0.964223
737;0.966098
738;0.965518
739;0.965701
740;0.965783
741;0.965768
742;0.963929
743;0.962968
744;0.963267
745;0.964383
746;0.966272
747;0.965428
748;0.964507
749;0.964995
750;0.96598
751;0.964609
752;0.963699
753;0.964801
754;0.964164
755;0.964527
756;0.964538
757;0.967012
758;0.966683
759;0.963891
760;0.964822
761;0.963297
762;0.964678
763;0.965972
764;0.963648
765;0.963659
766;0.964483
767;0.964526
768;0.964433
769;0.963657
770;0.963813
771;0.9649
772;0.964354
773;0.965018
774;0.965176
775;0.964408
776;0.964067
777;0.963352
778;0.963777
779;0.964785
780;0.964963
781;0.963809
782;0.964841
783;0.964728
784;0.963949
785;0.96412
786;0.964225
787;0.963705
788;0.963457
789;0.963866
790;0.96237
791;0.962414
792;0.964766
793;0.963343
794;0.964265
795;0.965795
796;0.965367
797;0.96381
798;0.963857
799;0.964275
800;0.965115
801;0.964713
802;0.964389
803;0.966168
804;0.964707
805;0.963218
806;0.963334
807;0.963829
808;0.963733
809;0.963283
810;0.96195
811;0.961314
812;0.963585
813;0.964842
814;0.963509
815;0.961631
816;0.963943
817;0.965402
818;0.963864
819;0.964173
820;0.964592
821;0.963736
822;0.963099
823;0.96291
824;0.963608
825;0.964186
826;0.963507
827;0.963141
828;0.963326
829;0.963401
830;0.963502
831;0.963742
832;0.963294
833;0.963178
834;0.963512
835;0.963328
836;0.96372
837;0.963615
838;0.963306
839;0.963172
840;0.963173
841;0.963163
842;0.96318
843;0.96295
844;0.963174
845;0.963208
846;0.963035
847;0.96298
848;0.963123
849;0.963137
850;0.9629
851;0.962839
852;0.962921
853;0.963058
854;0.963168
855;0.963182
856;0.963034
857;0.962722
858;0.963402
859;0.963224
860;0.963375
861;0.96308
862;0.963081
863;0.962964
864;0.962887
865;0.962759
866;0.963047
867;0.963234
868;0.963123
869;0.96303
870;0.963193
871;0.96316
872;0.962945
873;0.963193
874;0.963268
875;0.96318
876;0.963051
877;0.963066
878;0.963084
879;0.963317
880;0.963336
881;0.963177
882;0.963265
883;0.963248
884;0.963529
885;0.962853
886;0.962948
887;0.963061
888;0.962875
889;0.963016
890;0.962641
891;0.962563
892;0.963206
893;0.963376
894;0.962817
895;0.962352
896;0.962475
897;0.962573
898;0.962622
899;0.962365
900;0.962231
901;0.962724
902;0.962482
903;0.962275
904;0.962266
905;0.962146
906;0.962327
907;0.962208
908;0.96153
909;0.962002
910;0.961929
911;0.961769
912;0.962041
913;0.961401
914;0.961941
915;0.961829
916;0.961624
917;0.961573
918;0.961633
919;0.961418
920;0.961382
921;0.961163
922;0.961323
923;0.961073
924;0.961691
925;0.960748
926;0.961426
927;0.96119
928;0.960804
929;0.960975
930;0.96107
931;0.960695
932;0.9606
933;0.960346
934;0.960745
935;0.96069
936;0.960528
937;0.961147
938;0.960448
939;0.960485
940;0.960975
941;0.961074
942;0.960321
943;0.96049
944;0.961746
945;0.961541
946;0.960655
947;0.961256
948;0.96073
949;0.961654
950;0.961352
951;0.96072
952;0.961138
953;0.962125
954;0.961773
955;0.961605
956;0.96173
957;0.961528
958;0.96176
959;0.961968
960;0.962293
961;0.961882
962;0.962187
963;0.962272
964;0.962605
965;0.962276
966;0.962178
967;0.962004
968;0.962439
969;0.961771
970;0.962557
971;0.962226
972;0.962073
973;0.962768
974;0.962318
975;0.962267
976;0.96137
977;0.961172
978;0.961991
979;0.961993
980;0.961535
981;0.962066
982;0.961953
983;0.961941
984;0.961306
985;0.961256
986;0.961984
987;0.962036
988;0.961826
989;0.961905
990;0.96148
991;0.961712
992;0.9617
993;0.961213
994;0.96145
995;0.961525
996;0.961312
997;0.961536
998;0.961388
999;0.960995
1000;0.960956
1001;0.961216
1002;0.961268
1003;0.960873
1004;0.96141
1005;0.961625
1006;0.960862
1007;0.961097
1008;0.961639
1009;0.961348
1010;0.960808
1011;0.96143
1012;0.961889
1013;0.961235
1014;0.960752
1015;0.961318
1016;0.961461
1017;0.960959
1018;0.960818
1019;0.960891
1020;0.961226
1021;0.961381
1022;0.960827
1023;0.961158
1024;0.961402
1025;0.960817
1026;0.960692
1027;0.960954
1028;0.961414
1029;0.96118
1030;0.960672
1031;0.960812
1032;0.961267
1033;0.961319
1034;0.96075
1035;0.960759
1036;0.960996
1037;0.961028
1038;0.961149
1039;0.961117
1040;0.960743
1041;0.96083
1042;0.960684
1043;0.960412
1044;0.960874
1045;0.961091
1046;0.961135
1047;0.961011
1048;0.960485
1049;0.960639
1050;0.96091
1051;0.961219
1052;0.961211
1053;0.961087
1054;0.960538
1055;0.960628
1056;0.961248
1057;0.96115
1058;0.961438
1059;0.960992
1060;0.960749
1061;0.960684
1062;0.960533
1063;0.960797
1064;0.96088
1065;0.961004
1066;0.961331
1067;0.961036
1068;0.960797
1069;0.960657
1070;0.960848
1071;0.961086
1072;0.961407
1073;0.960962
1074;0.960587
1075;0.960623
1076;0.960296
1077;0.960433
1078;0.960823
1079;0.960791
1080;0.960779
1081;0.96047
1082;0.959995
1083;0.960709
1084;0.960546
1085;0.960597
1086;0.961169
1087;0.960758
1088;0.960452
1089;0.960417
1090;0.960118
1091;0.960469
1092;0.961248
1093;0.96072
1094;0.961629
1095;0.960992
1096;0.96078
1097;0.961298
1098;0.95979
1099;0.960483
1100;0.96091
1101;0.96088
1102;0.960848
1103;0.960707
1104;0.961385
1105;0.960573
1106;0.960386
1107;0.960548
1108;0.960458
1109;0.960387
1110;0.960484
1111;0.960364
1112;0.960416
1113;0.960555
1114;0.960055
1115;0.960246
1116;0.960255
1117;0.959737
1118;0.959755
1119;0.959787
1120;0.960249
1121;0.960162
1122;0.959026
1123;0.959526
1124;0.959471
1125;0.959545
1126;0.960081
1127;0.959546
1128;0.959184
1129;0.959452
1130;0.95942
1131;0.958253
1132;0.957867
1133;0.959384
1134;0.959133
1135;0.959107
1136;0.959644
1137;0.958869
1138;0.959158
1139;0.959232
1140;0.959463
1141;0.959483
1142;0.959321
1143;0.959115
1144;0.959399
1145;0.958831
1146;0.958906
1147;0.959329
1148;0.958703
1149;0.958362
1150;0.95825
1151;0.958608
1152;0.957996
1153;0.958853
1154;0.958113
1155;0.958517
1156;0.959144
1157;0.958175
1158;0.958094
1159;0.958001
1160;0.958385
1161;0.957945
1162;0.958466
1163;0.958106
1164;0.958272
1165;0.958229
1166;0.958098
1167;0.958055
1168;0.958189
1169;0.957801
1170;0.957957
1171;0.958323
1172;0.957379
1173;0.957557
1174;0.95773
1175;0.957423
1176;0.957673
1177;0.957628
1178;0.957472
1179;0.957158
1180;0.957182
1181;0.957147
1182;0.957296
1183;0.95699
1184;0.956855
1185;0.957016
1186;0.957168
1187;0.956682
1188;0.95685
1189;0.956483
1190;0.956033
1191;0.956833
1192;0.957192
1193;0.957079
1194;0.956858
1195;0.956709
1196;0.956008
1197;0.956987
1198;0.957469
1199;0.956924
1200;0.956448
1201;0.9571
1202;0.957528
1203;0.957221
1204;0.957143
1205;0.957036
1206;0.957061
1207;0.956763
1208;0.956805
1209;0.95691
1210;0.956708
1211;0.956254
1212;0.955824
1213;0.957062
1214;0.957354
1215;0.956714
1216;0.956168
1217;0.957223
1218;0.957055
1219;0.956631
1220;0.957075
1221;0.957582
1222;0.957392
1223;0.956532
1224;0.95625
1225;0.957334
1226;0.957379
1227;0.957405
1228;0.957643
1229;0.957488
1230;0.957547
1231;0.95761
1232;0.957079
1233;0.957098
1234;0.957803
1235;0.957409
1236;0.957085
1237;0.957892
1238;0.957882
1239;0.957212
1240;0.957421
1241;0.958094
1242;0.957968
1243;0.957278
1244;0.957343
1245;0.957778
1246;0.957783
1247;0.957214
1248;0.957133
1249;0.957601
1250;0.957597
1251;0.957441
1252;0.956679
1253;0.956809
1254;0.95732
1255;0.957398
1256;0.957742
1257;0.957816
1258;0.957492
1259;0.957038
1260;0.957056
1261;0.957612
1262;0.957767
1263;0.957653
1264;0.956987
1265;0.9571
1266;0.957654
1267;0.957474
1268;0.957306
1269;0.95764
1270;0.957604
1271;0.957332
1272;0.957727
1273;0.957838
1274;0.957892
1275;0.957944
1276;0.957806
1277;0.957369
1278;0.957237
1279;0.957477
1280;0.957312
1281;0.957805
1282;0.957783
1283;0.957303
1284;0.957394
1285;0.957203
1286;0.956512
1287;0.957122
1288;0.957373
1289;0.957098
1290;0.957115
1291;0.95716
1292;0.95725
1293;0.957197
1294;0.95662
1295;0.956605
1296;0.956858
1297;0.956991
1298;0.957487
1299;0.957297
1300;0.956409
1301;0.957547
1302;0.957205
1303;0.956793
1304;0.95604
1305;0.956753
1306;0.957405
1307;0.95688
1308;0.95683
1309;0.957114
1310;0.957157
1311;0.957061
1312;0.956252
1313;0.956687
1314;0.956816
1315;0.957272
1316;0.9568
1317;0.956578
1318;0.956938
1319;0.95675
1320;0.957489
1321;0.956641
1322;0.956651
1323;0.956631
1324;0.956573
1325;0.956345
1326;0.956662
1327;0.955959
1328;0.956257
1329;0.956198
1330;0.956277
1331;0.957059
1332;0.956165
1333;0.956629
1334;0.956337
1335;0.95624
1336;0.955337
1337;0.955979
1338;0.955985
1339;0.95588
1340;0.955566
1341;0.955692
1342;0.955577
1343;0.956194
1344;0.95521
1345;0.955179
1346;0.9544
1347;0.955801
1348;0.955002
1349;0.954937
1350;0.953346
1351;0.956296
1352;0.953791
1353;0.953398
1354;0.953977
1355;0.954441
1356;0.952529
1357;0.952163
1358;0.953877
1359;0.951715
1360;0.952795
1361;0.953839
1362;0.951874
1363;0.952009
1364;0.952224
1365;0.952145
1366;0.951596
1367;0.951759
1368;0.951518
1369;0.951063
